Term,Category,Offensiveness,Source
motherfucker,Insult,moderately offensive,weaponized word
rapist,Sexual Aggression,significantly offensive,weaponized word
gangrape,Sexual Aggression,extremely offensive,weaponized word
assrape,Sexual Aggression,Significantly offensive,weaponized word
steek,Sexual Aggression,Extremely offensive,weaponized word
mil bag,Sexual Aggression,Extremely offensive,weaponized word
pogrom,Threat of Violence,extremely offensive,weaponized word
massacre,Threat of Violence,extremely offensive,weaponized word
mass atrocity,Threat of Violence,extremely offensive,weaponized word
genocide,Threat of Violence,extremely offensive,weaponized word
holocaust,Threat of Violence,extremely offensive,weaponized word
noose,Threat of Violence,significantly offensive,weaponized word
lynch,Threat of Violence,very offensive,weaponized word
RaHoWa,Threat of Violence,Extremely offensive,weaponized word
zipperhead,Threat of Violence,Extremely offensive,weaponized word
burning cross,"Extremism, Terrorism & Organized Crime",extremely offensive,weaponized word
hammerskin,"Extremism, Terrorism & Organized Crime",extremely offensive,weaponized word
white power,"Extremism, Terrorism & Organized Crime",extremely offensive,weaponized word
build the wall,"Extremism, Terrorism & Organized Crime",extremely offensive,weaponized word
boojahideen,"Extremism, Terrorism & Organized Crime",extremely offensive,weaponized word
wolfsangel,"Extremism, Terrorism & Organized Crime",extremely offensive,weaponized word
white genocide,"Extremism, Terrorism & Organized Crime",extremely offensive,weaponized word
Turner Diaries,"Extremism, Terrorism & Organized Crime",extremely offensive,weaponized word
Volksfront,"Extremism, Terrorism & Organized Crime",Extremely offensive,weaponized word
race mixing,"Extremism, Terrorism & Organized Crime",Extremely offensive,weaponized word
Weiss macht,"Extremism, Terrorism & Organized Crime",Extremely offensive,weaponized word
Three Percenter,"Extremism, Terrorism & Organized Crime",Significantly offensive,weaponized word
FGRN,"Extremism, Terrorism & Organized Crime",Extremely offensive,weaponized word
Totenkopf,"Extremism, Terrorism & Organized Crime",Extremely offensive,weaponized word
crazy white boy,"Extremism, Terrorism & Organized Crime",Significantly offensive,weaponized word
MIOAK,"Extremism, Terrorism & Organized Crime",Extremely offensive,weaponized word
AYAK,"Extremism, Terrorism & Organized Crime",Extremely offensive,weaponized word
big luau,"Extremism, Terrorism & Organized Crime",Extremely offensive,weaponized word
big igloo,"Extremism, Terrorism & Organized Crime",Extremely offensive,weaponized word
Boogalooer,"Extremism, Terrorism & Organized Crime",Extremely offensive,weaponized word
Boogaloo boi,"Extremism, Terrorism & Organized Crime",Extremely offensive,weaponized word
Boogaloo,"Extremism, Terrorism & Organized Crime",Extremely offensive,weaponized word
Adolph,"Extremism, Terrorism & Organized Crime",Extremely offensive,weaponized word
Adolf,"Extremism, Terrorism & Organized Crime",Extremely offensive,weaponized word
Proud Boy,"Extremism, Terrorism & Organized Crime",Extremely offensive,weaponized word
New World Order,"Extremism, Terrorism & Organized Crime",Extremely offensive,weaponized word
Sieg Heil,"Extremism, Terrorism & Organized Crime",Extremely offensive,weaponized word
Stormfront,"Extremism, Terrorism & Organized Crime",Extremely offensive,weaponized word
pedophile,Child Sexual Abuse Materials,significantly offensive,weaponized word
pedo,Child Sexual Abuse Materials,Significantly offensive,weaponized word
